iter	MAE
0	0.2229237353
1	0.2178144925
2	0.2129337756
3	0.2083623553
4	0.2039147036
5	0.1996853932
6	0.1954863187
7	0.1914692565
8	0.1876659185
9	0.1840662592
10	0.1806224427
11	0.1772882793
12	0.1740777943
13	0.1710123428
14	0.1680569247
15	0.1653084099
16	0.1626724753
17	0.1600976481
18	0.157633202
19	0.1552962706
20	0.1530277889
21	0.1508812821
22	0.1488324956
23	0.1468542234
24	0.1449857701
25	0.143254974
26	0.1415409443
27	0.1399291558
28	0.1383898144
29	0.1368874734
30	0.1354778863
31	0.1341171442
32	0.1328372874
33	0.1316287286
34	0.1305032098
35	0.1293905907
36	0.1283183495
37	0.1273169242
38	0.1263398074
39	0.1254045828
40	0.1245277454
41	0.1236876306
42	0.1229159416
43	0.1221540108
44	0.1214268062
45	0.120728575
46	0.1200626669
47	0.1194230635
48	0.1188067486
49	0.1182189159
50	0.1176745842
51	0.1171344303
52	0.1166382591
53	0.1161541551
54	0.1156783682
55	0.1152385852
56	0.1148214646
57	0.1144124048
58	0.114023047
59	0.1136539244
60	0.1133199544
61	0.1129795778
62	0.1126573008
63	0.112352863
64	0.1120592271
65	0.1117726935
66	0.1115087392
67	0.1112551889
68	0.1110119965
69	0.1107779817
70	0.110561706
71	0.1103461973
72	0.1101420891
73	0.1099544359
74	0.1097773136
75	0.1095925047
76	0.1094203397
77	0.1092585784
78	0.109099789
79	0.1089494486
80	0.1088152844
81	0.1086811655
82	0.1085632895
83	0.1084446869
84	0.1083316209
85	0.1082206567
86	0.108113234
87	0.1080150126
88	0.1079221913
89	0.1078355582
90	0.1077548933
91	0.1076696655
92	0.1075902512
93	0.1075147914
94	0.1074480785
95	0.1073738616
96	0.1073090032
97	0.1072519081
98	0.1071921921
99	0.1071368899
100	0.1070842795
101	0.1070318092
102	0.1069865052
103	0.1069374007
104	0.106890258
105	0.1068447107
106	0.1068024688
107	0.1067643737
108	0.1067245268
109	0.1066893377
110	0.1066577593
111	0.1066266297
112	0.1065949725
113	0.1065638628
114	0.1065368244
115	0.1065114317
116	0.1064878408
117	0.1064648033
118	0.106440043
119	0.1064171284
120	0.1063968547
121	0.1063797702
122	0.1063622536
123	0.1063441888
124	0.1063265756
125	0.1063149723
126	0.1062972958
127	0.1062832082
128	0.106266256
129	0.106250583
130	0.1062376772
131	0.1062240278
132	0.1062102846
133	0.1062011925
134	0.1061913899
135	0.1061818081
136	0.1061738528
137	0.1061632964
138	0.1061537793
139	0.1061468227
140	0.106136939
141	0.1061254115
142	0.1061185861
143	0.1061115574
144	0.1061047078
145	0.1060986113
146	0.1060920144
147	0.1060861623
148	0.1060806932
149	0.1060752875
150	0.1060702247
151	0.1060636858
152	0.1060557609
153	0.1060518524
154	0.1060471273
155	0.1060428093
156	0.1060374626
157	0.1060324524
158	0.106029138
