iter	Passed	Remaining
814	19304	4382
815	19331	4359
816	19362	4336
817	19390	4314
818	19417	4291
819	19447	4269
820	19472	4245
821	19494	4221
822	19517	4197
823	19539	4173
824	19564	4150
825	19588	4126
826	19614	4103
827	19638	4079
828	19664	4056
829	19693	4033
830	19718	4010
831	19740	3986
832	19763	3962
833	19786	3938
834	19808	3914
835	19830	3890
836	19852	3866
837	19875	3842
838	19899	3818
839	19920	3794
840	19944	3770
841	19976	3748
842	20006	3726
843	20035	3703
844	20070	3681
845	20104	3659
846	20133	3636
847	20162	3613
848	20186	3590
849	20217	3567
850	20247	3545
851	20272	3521
852	20299	3498
853	20327	3475
854	20353	3451
855	20376	3427
856	20399	3403
857	20422	3379
858	20446	3356
859	20467	3331
860	20492	3308
861	20517	3284
862	20541	3260
863	20579	3239
864	20619	3218
865	20644	3194
866	20668	3170
867	20691	3146
868	20713	3122
869	20736	3098
870	20761	3074
871	20783	3050
872	20808	3027
873	20833	3003
874	20856	2979
875	20881	2955
876	20907	2932
877	20931	2908
878	20955	2884
879	20984	2861
880	21012	2838
881	21038	2814
882	21062	2790
883	21088	2767
884	21112	2743
885	21138	2719
886	21163	2696
887	21196	2673
888	21221	2649
889	21247	2626
890	21272	2602
891	21296	2578
892	21320	2554
893	21348	2531
894	21372	2507
895	21398	2483
896	21424	2460
897	21449	2436
898	21473	2412
899	21496	2388
900	21524	2365
901	21548	2341
902	21570	2317
903	21593	2293
904	21617	2269
905	21640	2245
906	21664	2221
907	21688	2197
908	21713	2173
909	21736	2149
910	21759	2125
911	21782	2101
912	21806	2077
913	21829	2053
914	21852	2029
915	21874	2005
916	21896	1981
917	21919	1957
918	21941	1933
919	21966	1910
920	21990	1886
921	22014	1862
922	22037	1838
923	22063	1814
924	22087	1790
925	22110	1766
926	22135	1743
927	22160	1719
928	22183	1695
929	22205	1671
930	22227	1647
931	22251	1623
932	22273	1599
933	22296	1575
934	22318	1551
935	22342	1527
936	22366	1503
937	22390	1479
938	22412	1455
939	22434	1431
940	22457	1408
941	22479	1384
942	22511	1360
943	22537	1336
944	22560	1313
945	22584	1289
946	22608	1265
947	22631	1241
948	22654	1217
949	22677	1193
950	22700	1169
951	22722	1145
952	22744	1121
953	22767	1097
954	22789	1073
955	22812	1049
956	22835	1026
957	22860	1002
958	22881	978
959	22903	954
960	22926	930
961	22948	906
962	22971	882
963	22995	858
964	23018	834
965	23042	811
966	23065	787
967	23090	763
968	23115	739
969	23138	715
970	23160	691
971	23183	667
972	23205	643
973	23229	620
974	23252	596
975	23275	572
976	23299	548
977	23322	524
978	23345	500
979	23368	476
980	23394	453
981	23417	429
982	23440	405
983	23463	381
984	23484	357
985	23506	333
986	23533	309
987	23556	286
988	23580	262
989	23603	238
990	23625	214
991	23648	190
992	23672	166
993	23694	143
994	23717	119
995	23742	95
996	23768	71
997	23791	47
998	23814	23
999	23838	0
